
controlfile = +DATA/racdb/controlfile/current.282.877213289                     
controlfile = +FLASH/racdb/controlfile/current.260.877213289                    
datafile (file#_name) = 6_+DATA/racdb/datafile/vms.281.877213367                
datafile (file#_name) = 70_+DATA/racdb/datafile/vms.333.877219763               
datafile (file#_name) = 71_+DATA/racdb/datafile/vms.334.877219847               
datafile (file#_name) = 72_+DATA/racdb/datafile/vms.335.877219943               
datafile (file#_name) = 73_+DATA/racdb/datafile/vms.336.877220029               
datafile (file#_name) = 74_+DATA/racdb/datafile/vms.337.877220125               
datafile (file#_name) = 75_+DATA/racdb/datafile/vms.338.877220209               
datafile (file#_name) = 76_+DATA/racdb/datafile/vms.339.877220295               
datafile (file#_name) = 77_+DATA/racdb/datafile/vms.340.877220421               
datafile (file#_name) = 78_+DATA/racdb/datafile/vms.341.877220505               
datafile (file#_name) = 79_+DATA/racdb/datafile/vms.342.877220591               

datafile (file#_name) = 7_+DATA/racdb/datafile/fengdu78.362.877222441           
datafile (file#_name) = 80_+DATA/racdb/datafile/vms.343.877220677               
datafile (file#_name) = 81_+DATA/racdb/datafile/vms.344.877220773               
datafile (file#_name) = 82_+DATA/racdb/datafile/vms.345.877220857               
datafile (file#_name) = 83_+DATA/racdb/datafile/vms.346.877220953               
datafile (file#_name) = 84_+DATA/racdb/datafile/vms.347.877221039               
datafile (file#_name) = 85_+DATA/racdb/datafile/vms.348.877221135               
datafile (file#_name) = 86_+DATA/racdb/datafile/vms.349.877221249               
datafile (file#_name) = 87_+DATA/racdb/datafile/vms.350.877221345               
datafile (file#_name) = 88_+DATA/racdb/datafile/vms.351.877221431               
datafile (file#_name) = 89_+DATA/racdb/datafile/vms.352.877221557               
datafile (file#_name) = 8_+DATA/racdb/datafile/vms.277.877213461                
datafile (file#_name) = 90_+DATA/racdb/datafile/vms.353.877221653               

datafile (file#_name) = 91_+DATA/racdb/datafile/vms.354.877221787               
datafile (file#_name) = 92_+DATA/racdb/datafile/vms.355.877221953               
datafile (file#_name) = 93_+DATA/racdb/datafile/vms.356.877222149               
datafile (file#_name) = 94_+DATA/racdb/datafile/zjsos.359.877222385             
datafile (file#_name) = 9_+DATA/racdb/datafile/vms.265.877213547                
logfile (group_member) = 10_+FLASH/racdb/onlinelog/group_10.258.877222541       
logfile (group_member) = 11_+FLASH/racdb/onlinelog/group_11.257.877222543       
logfile (group_member) = 12_+FLASH/racdb/onlinelog/group_12.298.877222545       
logfile (group_member) = 13_+FLASH/racdb/onlinelog/group_13.297.877222545       
logfile (group_member) = 14_+FLASH/racdb/onlinelog/group_14.296.877222547       
logfile (group_member) = 1_+FLASH/racdb/onlinelog/group_1.295.877222555         
logfile (group_member) = 2_+FLASH/racdb/onlinelog/group_2.294.877222555         
logfile (group_member) = 5_+FLASH/racdb/onlinelog/group_5.293.877222555         

logfile (group_member) = 6_+FLASH/racdb/onlinelog/group_6.292.877222559         
logfile (group_member) = 7_+FLASH/racdb/onlinelog/group_7.291.877222561         
logfile (group_member) = 8_+FLASH/racdb/onlinelog/group_8.284.877222563         
logfile (group_member) = 9_+FLASH/racdb/onlinelog/group_9.259.877222541         
